"executionTime","stationBeanList__id","stationBeanList__stationName","stationBeanList__availableDocks","stationBeanList__totalDocks","stationBeanList__latitude","stationBeanList__longitude","stationBeanList__statusValue","stationBeanList__statusKey","stationBeanList__availableBikes","stationBeanList__stAddress1","stationBeanList__stAddress2","stationBeanList__city","stationBeanList__postalCode","stationBeanList__location","stationBeanList__altitude","stationBeanList__testStation","stationBeanList__lastCommunicationTime","stationBeanList__landMark"
"","3156","E 72 St & York Ave","28","37","40.76663814","-73.95348296","In Service","1","9","E 72 St & York Ave","","","","","","False","2019-11-28 05:25:59 AM",""
"","3157","East End Ave & E 86 St","17","27","40.77518615","-73.94446054","In Service","1","8","East End Ave & E 86 St","","","","","","False","2019-11-28 05:23:22 AM",""
"","3158","W 63 St & Broadway","10","31","40.77163851","-73.98261428","In Service","1","21","W 63 St & Broadway","","","","","","False","2019-11-28 05:23:13 AM",""
"","3159","W 67 St & Broadway","5","31","40.77492513","-73.98266566","In Service","1","26","W 67 St & Broadway","","","","","","False","2019-11-28 05:23:29 AM",""
"","3160","Central Park West & W 76 St","3","3","40.77896784","-73.97374737","Not In Service","3","0","Central Park West & W 76 St","","","","","","False","2019-11-20 08:22:01 AM",""
"","3161","W 76 St & Columbus Ave","2","59","40.7801839724239","-73.97728532552719","In Service","1","57","W 76 St & Columbus Ave","","","","","","False","2019-11-28 05:26:15 AM",""
"","3162","W 78 St & Broadway","1","39","40.78339981","-73.98093133","In Service","1","37","W 78 St & Broadway","","","","","","False","2019-11-28 05:26:47 AM",""
"","3163","Central Park West & W 68 St","0","0","40.7734066","-73.97782542","Not In Service","3","0","Central Park West & W 68 St","","","","","","False","2019-11-11 02:27:54 PM",""
"","3164","Columbus Ave & W 72 St","6","67","40.7770575","-73.97898475","In Service","1","60","Columbus Ave & W 72 St","","","","","","False","2019-11-28 05:25:30 AM",""
"","3165","Central Park West & W 72 St","3","3","40.77579376683666","-73.9762057363987","Not In Service","3","0","Central Park West & W 72 St","","","","","","False","2019-11-12 09:07:43 AM",""
"","3166","Riverside Dr & W 72 St","1","41","40.78057799010334","-73.98562431335449","In Service","1","40","Riverside Dr & W 72 St","","","","","","False","2019-11-28 05:24:18 AM",""
"","3167","Amsterdam Ave & W 73 St","0","55","40.77966809007312","-73.98093044757842","In Service","1","55","Amsterdam Ave & W 73 St","","","","","","False","2019-11-28 05:23:51 AM",""
"","3168","Central Park West & W 85 St","0","31","40.78472675","-73.96961715","Not In Service","3","0","Central Park West & W 85 St","","","","","","False","2019-11-28 05:25:23 AM",""
"","3169","Riverside Dr & W 82 St","20","39","40.78720869","-73.98128127","In Service","1","19","Riverside Dr & W 82 St","","","","","","False","2019-11-28 05:24:22 AM",""
"","3170","W 84 St & Columbus Ave","9","35","40.78499979","-73.97283406","In Service","1","26","W 84 St & Columbus Ave","","","","","","False","2019-11-28 05:24:52 AM",""
"","3171","Amsterdam Ave & W 82 St","9","39","40.78524672","-73.97667321","In Service","1","29","Amsterdam Ave & W 82 St","","","","","","False","2019-11-28 05:26:28 AM",""
"","3172","W 74 St & Columbus Ave","0","27","40.7785669","-73.97754961","Not In Service","3","0","W 74 St & Columbus Ave","","","","","","False","2019-11-28 05:26:37 AM",""
"","3173","Riverside Blvd & W 67 St","2","39","40.777507027547976","-73.98888587951659","In Service","1","37","Riverside Blvd & W 67 St","","","","","","False","2019-11-28 05:23:39 AM",""
"","3175","W 70 St & Amsterdam Ave","3","31","40.77748046","-73.98288594","In Service","1","28","W 70 St & Amsterdam Ave","","","","","","False","2019-11-28 05:24:54 AM",""
"","3177","W 84 St & Broadway","19","63","40.7867947","-73.977112","In Service","1","44","W 84 St & Broadway","","","","","","False","2019-11-28 05:25:48 AM",""
"","3178","Riverside Dr & W 78 St","1","39","40.78414472","-73.98362492","In Service","1","37","Riverside Dr & W 78 St","","","","","","False","2019-11-28 05:24:46 AM",""
"","3179","Park Ave & Marcus Garvey Blvd","22","23","40.698617","-73.941342","In Service","1","1","Park Ave & Marcus Garvey Blvd","","","","","","False","2019-11-28 05:23:43 AM",""
"","3182","Yankee Ferry Terminal","0","42","40.686931","-74.016966","Not In Service","3","0","Yankee Ferry Terminal","","","","","","False","2019-11-28 05:25:21 AM",""
"","3184","Paulus Hook","14","14","40.7141454","-74.0335519","In Service","1","0","Paulus Hook","","","","","","False","2019-11-28 05:24:48 AM",""
"","3185","City Hall","22","22","40.7177325","-74.043845","In Service","1","0","City Hall","","","","","","False","2019-11-28 05:26:22 AM",""
"","3186","Grove St PATH","35","42","40.71958611647166","-74.04311746358871","In Service","1","6","Grove St PATH","","","","","","False","2019-11-28 05:24:32 AM",""
"","3187","Warren St","19","22","40.7211236","-74.03805095","In Service","1","3","Warren St","","","","","","False","2019-11-28 05:24:42 AM",""
"","3191","Union St","16","18","40.7182113","-74.0836394","In Service","1","2","Union St","","","","","","False","2019-11-28 05:26:35 AM",""
"","3192","Liberty Light Rail","6","22","40.7112423","-74.0557013","In Service","1","14","Liberty Light Rail","","","","","","False","2019-11-28 05:25:17 AM",""
"","3193","Lincoln Park","5","18","40.7246050998869","-74.07840594649315","In Service","1","13","Lincoln Park","","","","","","False","2019-11-28 05:23:59 AM",""
"","3194","McGinley Square","16","22","40.7253399253558","-74.06762212514877","In Service","1","5","McGinley Square","","","","","","False","2019-11-28 05:24:50 AM",""
"","3195","Sip Ave","32","33","40.73089709786179","-74.06391263008118","In Service","1","1","Sip Ave","","","","","","False","2019-11-28 05:25:54 AM",""
"","3196","Riverview Park","8","18","40.7443187","-74.0439909","In Service","1","9","Riverview Park","","","","","","False","2019-11-28 05:23:58 AM",""
"","3198","Heights Elevator","10","18","40.748715945380226","-74.04044330120087","In Service","1","7","Heights Elevator","","","","","","False","2019-11-28 05:24:19 AM",""
"","3199","Newport Pkwy","0","14","40.7287448","-74.0321082","In Service","1","14","Newport Pkwy","","","","","","False","2019-11-28 05:24:20 AM",""
"","3201","Dey St","0","18","40.737711","-74.066921","In Service","1","18","Dey St","","","","","","False","2019-11-28 05:26:42 AM",""
"","3202","Newport PATH","18","18","40.7272235","-74.0337589","In Service","1","0","Newport PATH","","","","","","False","2019-11-28 05:25:16 AM",""
"","3203","Hamilton Park","3","26","40.727595966","-74.044247311","In Service","1","23","Hamilton Park","","","","","","False","2019-11-28 05:26:21 AM",""
"","3205","JC Medical Center","13","22","40.71653978099194","-74.0496379137039","In Service","1","9","JC Medical Center","","","","","","False","2019-11-28 05:24:29 AM",""
"","3206","Hilltop","26","26","40.7311689","-74.0575736","In Service","1","0","Hilltop","","","","","","False","2019-11-28 05:26:05 AM",""
"","3207","Oakland Ave","11","26","40.7376037","-74.0524783","In Service","1","15","Oakland Ave","","","","","","False","2019-11-28 05:24:04 AM",""
"","3209","Brunswick St","11","22","40.7241765","-74.0506564","In Service","1","11","Brunswick St","","","","","","False","2019-11-28 05:24:13 AM",""
