"tripduration","start_station_id","end_station_id","bikeid","usertype","birth_year","gender","start_day","start_wday","start_month","start_year","start_hour","start_minute","start_second","end_day","end_wday","end_month","end_year","end_hour","end_minute","end_second","id"
170,3183,3214,26261,0,1975,1,1,6,12,2018,0,3,53.386,1,6,12,2018,0,6,43.716,"JC318332142018-12-01 00:03:53.3860"
172,3183,3481,26175,0,1988,1,1,6,12,2018,0,47,13.734,1,6,12,2018,0,50,5.816,"JC318334812018-12-01 00:47:13.7340"
247,3183,3267,29255,0,1990,1,1,6,12,2018,0,48,57.696,1,6,12,2018,0,53,5.678,"JC318332672018-12-01 00:48:57.6960"
406,3183,3638,29275,0,1995,1,1,6,12,2018,1,33,53.663,1,6,12,2018,1,40,39.748,"JC318336382018-12-01 01:33:53.6630"
354,3183,3211,29658,0,1976,1,1,6,12,2018,6,26,52.512,1,6,12,2018,6,32,46.517,"JC318332112018-12-01 06:26:52.5120"
237,3183,3276,29221,0,1988,1,1,6,12,2018,8,8,19.912,1,6,12,2018,8,12,17.066,"JC318332762018-12-01 08:08:19.9120"
396,3183,3183,26306,0,1981,2,1,6,12,2018,9,34,36.444,1,6,12,2018,9,41,12.704,"JC318331832018-12-01 09:34:36.4440"
325,3183,3267,29640,0,1960,1,1,6,12,2018,12,3,4.9,1,6,12,2018,12,8,30.009,"JC318332672018-12-01 12:03:04.9000"
246,3183,3276,29623,0,1981,1,1,6,12,2018,12,22,33.385,1,6,12,2018,12,26,39.627,"JC318332762018-12-01 12:22:33.3850"
825,3183,3483,26203,1,1969,0,1,6,12,2018,13,2,48.61,1,6,12,2018,13,16,33.85,"JC318334832018-12-01 13:02:48.6100"
1053,3183,3206,29257,0,1989,1,1,6,12,2018,13,17,48.913,1,6,12,2018,13,35,22.363,"JC318332062018-12-01 13:17:48.9130"
130,3183,3681,29599,0,1992,1,1,6,12,2018,13,22,32.589,1,6,12,2018,13,24,42.969,"JC318336812018-12-01 13:22:32.5890"
907,3183,3192,29673,0,1993,1,1,6,12,2018,13,42,16.416,1,6,12,2018,13,57,24.185,"JC318331922018-12-01 13:42:16.4160"
